LANG,complexityoflanguages,RSAcostoflanguages,new_col
lang1754gen1mutoff16gen4rcoff173gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen5mutoff0gen6rcoff336,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen5mutoff0gen6rcoff336gen9rcoff139,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen5mutoff0gen7rcoff193,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen6rcoff8,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen7rcoff51,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen7rcoff51gen13rcoff133,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173gen7rcoff51gen8rcoff152,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0gen10rcoff171,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0gen10rcoff171gen22rcoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0gen3rcoff55,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0gen3rcoff55gen9rcoff184,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff0gen8rcoff258,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff4,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff4gen4rcoff105,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff4gen4rcoff105gen12rcoff89,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen2mutoff9,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen5mutoff0gen6rcoff793,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff17gen5mutoff0gen6rcoff793gen7rcoff171,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff7gen7rcoff443,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff7gen7rcoff443gen9rcoff42,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0gen6rcoff71,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0gen6rcoff71gen15rcoff32,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0gen7rcoff504,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0gen7rcoff504gen8rcoff405,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff22gen2mutoff8gen4mutoff0gen7rcoff504gen8rcoff405gen16rcoff60,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff2gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff2gen4rcoff17,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452gen5mutoff0gen10rcoff104,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452gen5mutoff0gen8rcoff268,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452gen7rcoff50,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen4rcoff452gen8rcoff146,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff4gen3mutoff0gen9rcoff60,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen2rcoff13,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen3rcoff91,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff25gen9rcoff13,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen19rcoff3,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1gen3mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1gen3mutoff2gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1gen3mutoff2gen5mutoff0gen11rcoff108,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1gen6rcoff187,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff1gen6rcoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff2gen10rcoff36,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen2mutoff2gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
