"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1183",10,2.3697202413604,2.2737399415276,"Haspel-ok"
"fl1184",15,2.75038796705265,1.85491972878283,"Haspel-ok"
"fl1185",3,4.32108027006752,3.73418031780742,"Haspel-ok"
"fl1186",2,5.81818181818182,4.55250905328505,"Haspel-ok"
"fl1187",2,4.36363636363637,3.70665044227079,"Haspel-ok"
"fl1188",5,3.1219512195122,2.85054689614546,"Haspel-ok"
"fl1189",8,2.5385632437197,2.39297000397665,"Haspel-ok"
"fl119",18,2.77340866048214,2.13044555273687,"Haspel-ok"
"fl1190",17,2.36988274017692,2.02986491420195,"Haspel-ok"
"fl1191",7,2.74285714285714,1.92428105230059,"Haspel-ok"
"fl1192",2,4.36363636363637,3.70665044227079,"Haspel-ok"
"fl1193",18,2.90439693424768,2.23996276434892,"Haspel-ok"
"fl1194",7,2.53149721652505,1.99560612526859,"Haspel-ok"
"fl1195",21,2.15956808638272,1.99910673010467,"Haspel-ok"
"fl1196",22,2.51605294194732,2.15137440904706,"Haspel-ok"
"fl1197",2,3.80952380952381,3.80952380952381,"Haspel-ok"
"fl1198",7,3.65482233502538,3.52191232632377,"Haspel-ok"
"fl1199",9,2.92918591346358,2.08118732510734,"Haspel-ok"
"fl12",9,2.83604135893649,1.77275734910538,"Haspel-ok"
"fl120",2,8.64864864864865,7.94630872483221,"Haspel-ok"
"fl1200",9,2.87281795511222,2.59360992378822,"Haspel-ok"
"fl1201",13,2.62866461403658,1.82028009320307,"Haspel-ok"
"fl1202",9,2.41915161696766,1.58590920913216,"Haspel-ok"
"fl1203",16,3.12943132365166,2.16443988351089,"Haspel-ok"
"fl1204",19,2.99474879118213,2.56830034708659,"Haspel-ok"
"fl1205",4,4.25249169435216,2.64531207262151,"Haspel-ok"
"fl1206",12,2.95946154241381,2.35891289252951,"Haspel-ok"
"fl1207",14,2.76869832724476,2.31386890443507,"Haspel-ok"
"fl1208",8,2.99246688024937,2.31835450055742,"Haspel-ok"
"fl1209",4,3.3922261484099,3.35200493522517,"Haspel-ok"
"fl121",10,2.5883762732175,2.30531615091037,"Haspel-ok"
"fl1210",17,2.63314285714286,2.23714460818742,"Haspel-ok"
"fl1211",10,2.70727580372251,1.88042077873789,"Haspel-ok"
"fl1212",11,3.734601253512,3.29879699616087,"Haspel-ok"
"fl1213",6,3.78947368421053,2.52450803730624,"Haspel-ok"
"fl1214",5,3.67393800229621,3.12798250457709,"Haspel-ok"
"fl1215",13,3.51947729244657,2.80926073978846,"Haspel-ok"
"fl1216",12,2.92831723436706,2.15252937878796,"Haspel-ok"
"fl1217",2,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl1218",10,2.11040547142159,1.72607605575618,"Haspel-ok"
"fl1219",17,3.2482729451572,2.56820019581262,"Haspel-ok"
