"LANG","syn_index","cov_index","type"
"fl1285",11,6,"artificial"
"fl1286",6,6,"artificial"
"fl1287",0,3,"artificial"
"fl1288",1,6,"artificial"
"fl1289",14,5,"artificial"
"fl129",4,6,"artificial"
"fl1290",11,6,"artificial"
"fl1291",8,6,"artificial"
"fl1292",21,6,"artificial"
"fl1293",9,5,"artificial"
"fl1294",0,2,"artificial"
"fl1295",10,6,"artificial"
"fl1296",10,6,"artificial"
"fl1297",6,6,"artificial"
"fl1298",14,6,"artificial"
"fl1299",13,6,"artificial"
"fl13",15,6,"artificial"
"fl130",7,6,"artificial"
"fl1300",0,4,"artificial"
"fl1301",6,6,"artificial"
"fl1302",14,6,"artificial"
"fl1303",3,6,"artificial"
"fl1304",0,2,"artificial"
"fl1305",11,6,"artificial"
"fl1306",12,6,"artificial"
"fl1307",0,4,"artificial"
"fl1308",2,4,"artificial"
"fl1309",19,6,"artificial"
"fl131",3,6,"artificial"
"fl1310",23,6,"artificial"
"fl1311",8,6,"artificial"
"fl1312",0,2,"artificial"
"fl1313",13,6,"artificial"
"fl1314",6,6,"artificial"
"fl1315",7,6,"artificial"
"fl1316",12,6,"artificial"
"fl1317",13,6,"artificial"
"fl1318",10,6,"artificial"
"fl1319",3,6,"artificial"
"fl132",0,3,"artificial"
"fl1320",7,5,"artificial"
"fl1321",13,6,"artificial"
"fl1322",9,5,"artificial"
"fl1323",1,5,"artificial"
"fl1324",1,5,"artificial"
"fl1325",18,6,"artificial"
"fl1326",19,6,"artificial"
"fl1327",0,3,"artificial"
"fl1328",11,6,"artificial"
"fl1329",7,6,"artificial"
"fl133",6,5,"artificial"
"fl1330",0,1,"artificial"
"fl1331",12,6,"artificial"
"fl1332",15,6,"artificial"
"fl1333",18,6,"artificial"
"fl1334",11,6,"artificial"
"fl1335",5,6,"artificial"
"fl1336",10,6,"artificial"
"fl1337",9,6,"artificial"
"fl1338",7,5,"artificial"
"fl1339",5,6,"artificial"
"fl134",0,3,"artificial"
"fl1340",0,5,"artificial"
"fl1341",8,6,"artificial"
"fl1342",11,6,"artificial"
"fl1343",18,6,"artificial"
