"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl1319",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl132",15,2.95174609027805,"Haspel-ok",1.81610370731496
"fl1320",12,2.22144438308779,"Haspel-ok",1.04075388171962
"fl1321",6,3.0923125686475,"Haspel-ok",1.68352715842407
"fl1322",13,2.29861367598206,"Haspel-ok",1.13562757404961
"fl1323",13,1.95981499019542,"Haspel-ok",0.796871493382631
"fl1324",15,2.24302002866995,"Haspel-ok",1.10740400420762
"fl1325",17,2.93036208240919,"Haspel-ok",1.81557517442327
"fl1326",6,2.82267918868425,"Haspel-ok",1.41470470288829
"fl1327",9,2.34670404380914,"Haspel-ok",1.09112436606125
"fl1328",2,12.3076923076923,"Haspel-ok",1.76342750219107
"fl1329",6,2.16820460561447,"Haspel-ok",0.762137419450837
"fl133",1,4.28164000080908,"Haspel-ok",0.188008360120295
"fl1330",5,3.49854968733519,"Haspel-ok",1.99273279996419
"fl1331",11,1.56364907042783,"Haspel-ok",0.363307755459163
"fl1332",1,12.3076923076923,"Haspel-ok",0.763646070397086
"fl1333",13,2.77443033442566,"Haspel-ok",1.61141464384647
"fl1334",14,1.71822716238895,"Haspel-ok",0.57174065925477
"fl1335",4,3.81161892635834,"Haspel-ok",2.14702314563473
"fl1336",4,3.67597393331114,"Haspel-ok",2.01427689980344
"fl1337",13,2.04440967834089,"Haspel-ok",0.881452475710009
"fl1338",20,2.35325838009162,"Haspel-ok",1.26558583220958
"fl1339",14,1.46978902858961,"Haspel-ok",0.324577474315617
"fl134",17,2.08948798021537,"Haspel-ok",0.974998317600268
"fl1340",11,2.39103479571048,"Haspel-ok",1.18992273059123
"fl1341",5,2.23799380116807,"Haspel-ok",0.740353128037541
"fl1342",8,2.45592432960768,"Haspel-ok",1.16270411914483
"fl1343",21,2.00791076490265,"Haspel-ok",0.923652497160679
"fl1344",2,4.55250905328505,"Haspel-ok",1.22379709192397
"fl1345",8,2.08150762818745,"Haspel-ok",0.788643611696578
"fl1346",10,2.01375447523741,"Haspel-ok",0.788385453923969
"fl1347",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl1348",11,2.04979002496306,"Haspel-ok",0.848813887443731
"fl1349",6,2.19052001840773,"Haspel-ok",0.784388150874319
"fl135",6,2.8668455095581,"Haspel-ok",1.45873548664411
"fl1350",4,2.9404633463051,"Haspel-ok",1.29283259204374
"fl1351",11,1.6571574705807,"Haspel-ok",0.456589126218422
"fl1352",12,2.57833867233326,"Haspel-ok",1.39759516153426
"fl1353",14,2.02264865013665,"Haspel-ok",0.875154509690327
"fl1354",14,2.97033541421594,"Haspel-ok",1.82185799139002
"fl1355",12,2.29305544547829,"Haspel-ok",1.11235158004452
"fl1356",3,3.05732484076433,"Haspel-ok",1.14119001943534
"fl1357",3,4.10282579575174,"Haspel-ok",2.01583863247182
"fl1358",15,1.96630038013269,"Haspel-ok",0.830706855756573
"fl1359",2,2.98556974622657,"Haspel-ok",0.532896248982943
"fl136",12,1.99474794026261,"Haspel-ok",0.814115245491436
"fl1360",8,3.0913590268718,"Haspel-ok",1.79758092355634
"fl1361",4,3.35200493522517,"Haspel-ok",1.69681520385371
"fl1362",4,3.67597393331114,"Haspel-ok",2.01427689980344
"fl1363",14,2.43873029890489,"Haspel-ok",1.29062673309235
"fl1364",19,2.19596065624239,"Haspel-ok",1.09921537439889
"fl1365",16,2.78821724897837,"Haspel-ok",1.66350585765654
"fl1366",17,2.06716548044793,"Haspel-ok",0.952690857151647
"fl1367",15,2.32119515578419,"Haspel-ok",1.1855746775808
"fl1368",7,2.80737247048684,"Haspel-ok",1.46509229759517
"fl1369",10,2.09369138146615,"Haspel-ok",0.868253903291732
"fl137",10,2.05662349306542,"Haspel-ok",0.831216122838226
"fl1370",4,5.49899152884227,"Haspel-ok",3.3735352840066
"fl1371",5,3.41099216792207,"Haspel-ok",1.90577623621574
"fl1372",9,2.20259619066959,"Haspel-ok",0.947119366565366
"fl1373",5,2.22611574635823,"Haspel-ok",0.728538163760075
"fl1374",12,2.23966011678553,"Haspel-ok",1.05896604460468
"fl1375",4,3.59495605655331,"Haspel-ok",1.93493930103817
"fl1376",3,3.05732484076433,"Haspel-ok",1.14119001943534
"fl1377",14,2.26765600064495,"Haspel-ok",1.11974821911165
"fl1378",6,2.63449827392266,"Haspel-ok",1.22707593123445
